MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
A8FBD372   30000B32   CAM_Buil -              R$3_1x2
A8FBD372   30000B40   SimCity_ -              R$2_1x3
A8FBD372   30000B40   CAM_Buil -              R$2_1x3
A8FBD372   30000B41   SimCity_ -              R$2_1x3
A8FBD372   30000B41   CAM_Buil -              R$2_1x3
A8FBD372   30000B42   SimCity_ -              R$2_1x3
A8FBD372   30000B42   CAM_Buil -              R$2_1x3
A8FBD372   30000B50   SimCity_ -              R$4_1x1
A8FBD372   30000B50   CAM_Buil -              R$4_1x1
A8FBD372   30000B51   SimCity_ -              R$4_1x1
A8FBD372   30000B51   CAM_Buil -              R$4_1x1
A8FBD372   30000B60   SimCity_ -              R$3_1x2
A8FBD372   30000B60   CAM_Buil -              R$3_1x2
A8FBD372   30000B61   SimCity_ -              R$3_1x2
A8FBD372   30000B61   CAM_Buil -              R$3_1x2
A8FBD372   30000B70   SimCity_ -              R$3_1x3
A8FBD372   30000B70   CAM_Buil -              R$3_1x3
A8FBD372   30000B71   SimCity_ -              R$3_1x3
A8FBD372   30000B71   CAM_Buil -              R$3_1x3
A8FBD372   30000B72   SimCity_ -              R$3_1x3
A8FBD372   30000B72   CAM_Buil -              R$3_1x3
A8FBD372   30000B73   SimCity_ -              R$3_1x3
A8FBD372   30000B73   CAM_Buil -              R$3_1x3
A8FBD372   30000B80   SimCity_ -              R$6_2x2
A8FBD372   30000B80   CAM_Buil -              R$6_2x2
A8FBD372   30000B81   SimCity_ -              R$6_2x2
A8FBD372   30000B81   CAM_Buil -              R$6_2x2
A8FBD372   30000B82   SimCity_ -              R$6_2x2
A8FBD372   30000B82   CAM_Buil -              R$6_2x2
A8FBD372   43253F14   CAM_Educ -              Rw3x4_OperaHouse_B32B-MZ
A8FBD372   4A2829D1   SimCity_ -              CV4x4_CityCollege_031C
A8FBD372   4A2829D1   CAM_Educ -              CV4x4_CityCollege_031C
A8FBD372   4A2AF441   SimCity_ -              CV4x3_9-12LargeSchool_0317
A8FBD372   4A2AF441   CAM_Educ -              CV4x3_9-12LargeSchool_0317
A8FBD372   4A4BD4FC   SimCity_ -              Rw3x4_CityHall_Phase3
A8FBD372   4A4BD4FC   CAM_Maxi -              Rw3x4_CityHall_Phase3-MZ
A8FBD372   4A52917D   SimCity_ -              PZ12x6_SeaportP1
A8FBD372   4A552C9E   SimCity_ -              RW12x12_CountryClub
A8FBD372   4A5530FD   SimCity_ -              RW5x5_MovieStudio
A8FBD372   4A57BCC0   SimCity_ -              LM10x2_GatewayArch
A8FBD372   4A57BF3A   SimCity_ -              LM1x1_BigBen
A8FBD372   4A57C29A   SimCity_ -              LM2x2_BostonFaneuilHall
A8FBD372   4A57CB23   SimCity_ -              LM4x4_ChryslerBuilding
A8FBD372   4A57D4D4   SimCity_ -              LM7x1_HollywoodSign
A8FBD372   4A635A8A   SimCity_ -              Pz1x1_ParkGreens1
A8FBD372   4A635A8A   CAM_Park -              Pz1x1_ParkGreens1
A8FBD372   4A635A8B   SimCity_ -              PZ2x2_ParkGreens2
A8FBD372   4A635A8B   CAM_Park -              PZ2x2_ParkGreens2
A8FBD372   4A635A8C   SimCity_ -              PZ3x3_ParkGreens3
A8FBD372   4A635A8C   CAM_Park -              PZ3x3_ParkGreens3
A8FBD372   4A635AD2   SimCity_ -              PZ1x1_Plaza1
A8FBD372   4A635AD2   CAM_Park -              PZ1x1_Plaza1
A8FBD372   4A635AD3   SimCity_ -              PZ2x2_Plaza2
A8FBD372   4A635AD3   CAM_Park -              PZ2x2_Plaza2
A8FBD372   4A635AD4   SimCity_ -              PZ3x3_Plaza3
A8FBD372   4A635AD4   CAM_Park -              PZ3x3_Plaza3
A8FBD372   4A63629B   SimCity_ -              PZ3x3_ParkBaseBall1
A8FBD372   4A63629B   CAM_Park -              PZ3x3_ParkBaseBall1
A8FBD372   4A63F3C1   SimCity_ -              PZ12x6_SeaportP2
A8FBD372   4A7762B0   SimCity_ -              RW2x3_HouseWorship3_0377
A8FBD372   4A7762FA   SimCity_ -              RW2x3_HouseWorship4_0378
A8FBD372   4AB05A12   SimCity_ -              Pz1x1_Cement
A8FBD372   4AB05A12   CAM_Park -              Pz1x1_Cement
A8FBD372   4AB05A13   SimCity_ -              Pz1x1_Grass
A8FBD372   4AB05A13   CAM_Park -              Pz1x1_Grass
A8FBD372   4BAFBA9F   SimCity_ -              Utils1x1_LightRailStation_0359
A8FBD372   4BAFBFC1   SimCity_ -              CV3x4_larger_elementary_school
A8FBD372   4BAFBFC1   CAM_Educ -              CV3x4_larger_elementary_school
A8FBD372   4BB1058D   SimCity_ -              RW5x4_launchpad
A8FBD372   4BF9C846   SimCity_ -              Rw5x3_Cruise_Ship_Building
A8FBD372   4DFF21E0   CAM_Educ -              RW2x3_PrivateSchool_0318
A8FBD372   5564AAE9   CAM_Maxi -              PLOP_8x8_Desalination Plant 
A8FBD372   561E640A   CAM_Maxi -              PLOP_1x1_Electric Generator
A8FBD372   5DA1D007   CAM_Educ -              CV4x3_9-12LargeSchool_0317
A8FBD372   60000010   SimCity_ -              CS$1_2x2
A8FBD372   60000020   SimCity_ -              CS$1_1x3
A8FBD372   60000030   SimCity_ -              CS$1_3x3
A8FBD372   60000040   SimCity_ -              CS$2_1x2
A8FBD372   60000050   SimCity_ -              CS$2_2x1
A8FBD372   60000060   SimCity_ -              CS$1_2x3
A8FBD372   60000070   SimCity_ -              CS$1_3x2
A8FBD372   60000080   SimCity_ -              CS$2_2x2
A8FBD372   600000B0   SimCity_ -              CS$4_1x1
A8FBD372   600000C0   SimCity_ -              CS$2_1x2
A8FBD372   600000D0   SimCity_ -              CS$2_2x1
A8FBD372   600000E0   SimCity_ -              CS$3_1x2
A8FBD372   600000F0   SimCity_ -              CS$3_2x1
A8FBD372   60000100   SimCity_ -              CS$3_2x2
A8FBD372   60000110   SimCity_ -              CS$5_1x1
A8FBD372   60000120   SimCity_ -              CS$4_1x3
A8FBD372   60000130   SimCity_ -              CS$6_1x2
A8FBD372   60000140   SimCity_ -              CS$6_2x1
A8FBD372   60000150   SimCity_ -              CS$$1_2x3
A8FBD372   60000160   SimCity_ -              CS$$1_2x3
A8FBD372   60000170   SimCity_ -              CS$$1_2x2
A8FBD372   60000180   SimCity_ -              CS$$1_2x2
A8FBD372   60000190   SimCity_ -              CS$$1_1x3
A8FBD372   600001A0   SimCity_ -              CS$$1_4x4
A8FBD372   600001B0   SimCity_ -              CS$$1_1x3
A8FBD372   600001C0   SimCity_ -              CS$$1_3x4
A8FBD372   600001D0   SimCity_ -              CS$$1_1x2
A8FBD372   600001E0   SimCity_ -              CS$$1_2x1
A8FBD372   600001F0   SimCity_ -              CS$$1_1x2
A8FBD372   60000200   SimCity_ -              CS$$1_2x1
A8FBD372   60000210   SimCity_ -              CS$$1_3x3
A8FBD372   60000220   SimCity_ -              CS$$1_2x2
A8FBD372   60000230   SimCity_ -              CS$$1_1x3
A8FBD372   60000240   SimCity_ -              CS$$2_3x2
A8FBD372   60000250   SimCity_ -              CS$$2_2x3
A8FBD372   60000260   SimCity_ -              CS$$2_1x1
A8FBD372   60000270   SimCity_ -              CS$$2_1x2
A8FBD372   60000280   SimCity_ -              CS$$2_2x1
A8FBD372   60000290   SimCity_ -              CS$$3_3x3
A8FBD372   600002A0   SimCity_ -              CS$$1_2x3
A8FBD372   600002B0   SimCity_ -              CS$$1_3x2
A8FBD372   600002C0   SimCity_ -              CS$$5_3x2
A8FBD372   600002D0   SimCity_ -              CS$$5_2x3
A8FBD372   600002E0   SimCity_ -              CS$$2_2x2
A8FBD372   600002F0   SimCity_ -              CS$$$1_2x3
A8FBD372   60000300   SimCity_ -              CS$$$1_2x2
A8FBD372   60000310   SimCity_ -              CS$$$1_1x3
A8FBD372   60000320   SimCity_ -              CS$$$1_1x2
A8FBD372   60000330   SimCity_ -              CS$$$1_3x3
A8FBD372   60000340   SimCity_ -              CS$$$1_2x3
A8FBD372   60000350   SimCity_ -              CS$$$1_3x2
A8FBD372   60000360   SimCity_ -              CS$$$2_3x3
A8FBD372   60000370   SimCity_ -              CS$$$2_2x2
A8FBD372   60000380   SimCity_ -              CS$$$2_1x2
A8FBD372   60000390   SimCity_ -              CS$$$2_2x1
A8FBD372   600003A0   SimCity_ -              CS$$$2_3x2
A8FBD372   600003B0   SimCity_ -              CS$$$2_2x3
A8FBD372   600003C0   SimCity_ -              CS$$$4_3x3
A8FBD372   600003D0   SimCity_ -              CS$$$4_1x1
A8FBD372   600003E0   SimCity_ -              CS$$$4_2x4
A8FBD372   600003F0   SimCity_ -              CS$$$5_3x2
A8FBD372   60000400   SimCity_ -              CS$$$5_2x3
A8FBD372   60000410   SimCity_ -              CO$$1_3x2
A8FBD372   60000420   SimCity_ -              CO$$1_2x3
A8FBD372   60000430   SimCity_ -              CO$$1_2x2
A8FBD372   60000440   SimCity_ -              CO$$1_2x3
A8FBD372   60000450   SimCity_ -              CO$$1_2x2
A8FBD372   60000460   SimCity_ -              CO$$1_3x3
A8FBD372   60000462   SimCity_ -              CO$$4_2x3
A8FBD372   60000463   SimCity_ -              CO$$5_2x2
A8FBD372   60000464   SimCity_ -              CO$$4_2x3
A8FBD372   60000465   SimCity_ -              CO$$4_3x2
A8FBD372   60000466   SimCity_ -              CO$$3_3x3
A8FBD372   60000467   SimCity_ -              CO$$2_2x3
A8FBD372   60000468   SimCity_ -              CO$$3_2x2
A8FBD372   60000469   SimCity_ -              CO$$2_3x2
A8FBD372   6000046A   SimCity_ -              CO$$1_3x3
A8FBD372   6000046B   SimCity_ -              CO$$1_3x3
A8FBD372   6000046C   SimCity_ -              CO$$6_3x3
A8FBD372   6000046D   SimCity_ -              CO$$6_4x2
A8FBD372   6000046E   SimCity_ -              CO$$6_3x2
A8FBD372   6000046F   SimCity_ -              CO$$6_2x3
A8FBD372   60000470   SimCity_ -              CO$$2_3x2
A8FBD372   60000472   SimCity_ -              CO$$6_2x3
A8FBD372   60000473   SimCity_ -              CO$$6_3x2
A8FBD372   60000474   SimCity_ -              CO$$6_3x3
A8FBD372   60000475   SimCity_ -              CO$$6_4x2
A8FBD372   60000476   SimCity_ -              CO$$7_2x3
A8FBD372   60000477   SimCity_ -              CO$$7_3x2
A8FBD372   60000478   SimCity_ -              CO$$6_3x3
A8FBD372   60000479   SimCity_ -              CO$$6_3x2
A8FBD372   6000047A   SimCity_ -              CO$$6_3x2
A8FBD372   6000047C   SimCity_ -              CO$$5_2x2
A8FBD372   6000047D   SimCity_ -              CO$$6_3x3
A8FBD372   6000047E   SimCity_ -              CO$$6_4x2
A8FBD372   60000480   SimCity_ -              CO$$2_2x3
A8FBD372   60000482   SimCity_ -              CO$$7_3x2
A8FBD372   60000483   SimCity_ -              CS$$$2_3x3
A8FBD372   60000484   SimCity_ -              CS$$$2_4x2
A8FBD372   60000485   SimCity_ -              CS$$$2_2x3
A8FBD372   60000486   SimCity_ -              CS$$$2_3x2
A8FBD372   60000490   SimCity_ -              CO$$3_1x2
A8FBD372   600004A0   SimCity_ -              CO$$3_2x1
A8FBD372   600004B0   SimCity_ -              CO$$1_3x3
A8FBD372   600004C0   SimCity_ -              CO$$2_3x2
A8FBD372   600004D0   SimCity_ -              CO$$2_2x3
A8FBD372   600004E0   SimCity_ -              CO$$3_2x2
A8FBD372   600004F0   SimCity_ -              CO$$1_3x4
A8FBD372   60000500   SimCity_ -              CO$$1_4x3
A8FBD372   60000510   SimCity_ -              CO$$4_4x3
A8FBD372   60000520   SimCity_ -              CO$$4_3x4
A8FBD372   60000530   SimCity_ -              CO$$3_1x2
A8FBD372   60000540   SimCity_ -              CO$$3_2x1
A8FBD372   60000550   SimCity_ -              CO$$3_2x2
A8FBD372   60000560   SimCity_ -              CO$$2_3x3
A8FBD372   60000570   SimCity_ -              CO$$3_3x2
A8FBD372   60000580   SimCity_ -              CO$$3_2x3
A8FBD372   60000590   SimCity_ -              CO$$3_3x3
A8FBD372   600005A0   SimCity_ -              CO$$4_3x2
A8FBD372   600005B0   SimCity_ -              CO$$4_2x3
A8FBD372   600005C0   SimCity_ -              CO$$5_1x1
A8FBD372   600005D0   SimCity_ -              CO$$5_1x2
A8FBD372   600005E0   SimCity_ -              CO$$5_2x1
A8FBD372   600005F0   SimCity_ -              CO$$4_2x2
A8FBD372   60000600   SimCity_ -              CO$$4_4x4
A8FBD372   60000610   SimCity_ -              CO$$3_3x3
A8FBD372   60000620   SimCity_ -              CO$$4_3x2
A8FBD372   60000630   SimCity_ -              CO$$4_2x3
A8FBD372   60000640   SimCity_ -              CO$$5_3x4
A8FBD372   60000650   SimCity_ -              CO$$5_4x3
A8FBD372   60000660   SimCity_ -              CO$$6_3x3
A8FBD372   60000670   SimCity_ -              CO$$5_2x2
A8FBD372   60000680   SimCity_ -              CO$$7_3x2
A8FBD372   60000690   SimCity_ -              CO$$7_2x3
A8FBD372   600006A0   SimCity_ -              CO$$7_3x3
A8FBD372   600006B0   SimCity_ -              CO$$7_3x2
A8FBD372   600006C0   SimCity_ -              CO$$7_2x3
A8FBD372   600006D0   SimCity_ -              CO$$8_3x4
A8FBD372   600006E0   SimCity_ -              CO$$8_4x3
A8FBD372   600006F0   SimCity_ -              CO$$7_4x4
A8FBD372   60000700   SimCity_ -              CO$$7_4x3
A8FBD372   60000710   SimCity_ -              CO$$7_3x4
A8FBD372   60000720   SimCity_ -              CO$$8_3x3
A8FBD372   60000730   SimCity_ -              CO$$8_5x4
A8FBD372   60000730   CAM_Buil -              CO$$9_5x4
A8FBD372   60000740   SimCity_ -              CO$$8_4x4
A8FBD372   60000740   CAM_Buil -              CO$$10_4x4
A8FBD372   60000750   SimCity_ -              CO$$$1_3x3
A8FBD372   60000760   SimCity_ -              CO$$$1_2x3
A8FBD372   60000770   SimCity_ -              CO$$$1_3x2
A8FBD372   6000077B   SimCity_ -              CO$$$5_1x2
A8FBD372   6000077C   SimCity_ -              CO$$$5_1x2
A8FBD372   6000077D   SimCity_ -              CO$$$6_1x1
A8FBD372   6000077E   SimCity_ -              CO$$$6_1x1
A8FBD372   6000077F   SimCity_ -              CO$$8_4x5
A8FBD372   6000077F   CAM_Buil -              CO$$10_4x5
A8FBD372   60000780   SimCity_ -              CO$$$1_2x2
A8FBD372   60000781   SimCity_ -              CO$$8_4x4
A8FBD372   60000781   CAM_Buil -              CO$$11_4x4
A8FBD372   60000782   SimCity_ -              CO$$8_4x4
A8FBD372   60000782   CAM_Buil -              CO$$11_4x4
A8FBD372   60000783   SimCity_ -              CO$$2_3x3
A8FBD372   60000784   SimCity_ -              CO$$2_3x3
A8FBD372   60000785   SimCity_ -              CO$$2_2x3
A8FBD372   60000786   SimCity_ -              CO$$2_2x3
A8FBD372   60000787   SimCity_ -              CO$$4_2x2
A8FBD372   60000788   SimCity_ -              CO$$$5_1x2
A8FBD372   60000789   SimCity_ -              CO$$$5_1x2
A8FBD372   6000078A   SimCity_ -              CO$$$6_1x1
A8FBD372   6000078B   SimCity_ -              CO$$$6_1x1
A8FBD372   6000078C   SimCity_ -              CO$$2_3x3
A8FBD372   6000078D   SimCity_ -              CO$$2_3x3
A8FBD372   6000078E   SimCity_ -              CO$$2_2x3
A8FBD372   6000078F   SimCity_ -              CO$$2_2x3
A8FBD372   60000790   SimCity_ -              CO$$$1_3x3
A8FBD372   60000791   SimCity_ -              CO$$4_2x2
A8FBD372   60000792   SimCity_ -              CO$$$8_3x4
A8FBD372   60000792   CAM_Buil -              CO$$$9_3x4
A8FBD372   60000793   SimCity_ -              CO$$$8_3x4
A8FBD372   60000793   CAM_Buil -              CO$$$9_3x4
A8FBD372   60000794   SimCity_ -              CO$$$8_4x3
A8FBD372   60000794   CAM_Buil -              CO$$$9_4x3
A8FBD372   60000795   SimCity_ -              CO$$$8_4x3
A8FBD372   60000795   CAM_Buil -              CO$$$9_4x3
A8FBD372   60000796   SimCity_ -              CO$$8_4x4
A8FBD372   60000796   CAM_Buil -              CO$$10_4x4
A8FBD372   60000797   SimCity_ -              CO$$$8_3x4
A8FBD372   60000798   SimCity_ -              CO$$$8_3x4
A8FBD372   60000799   SimCity_ -              CO$$$8_4x3
A8FBD372   6000079A   SimCity_ -              CO$$$8_4x3
A8FBD372   600007A0   SimCity_ -              CO$$$2_2x3
A8FBD372   600007B0   SimCity_ -              CO$$$2_3x2
A8FBD372   600007C0   SimCity_ -              CO$$$3_1x2
A8FBD372   600007D0   SimCity_ -              CO$$$3_2x1
A8FBD372   600007E0   SimCity_ -              CO$$$4_2x2
A8FBD372   600007F0   SimCity_ -              CO$$$1_4x4
A8FBD372   60000800   SimCity_ -              CO$$$1_3x4
A8FBD372   60000810   SimCity_ -              CO$$$1_4x3
A8FBD372   60000820   SimCity_ -              CO$$$1_2x3
A8FBD372   60000830   SimCity_ -              CO$$$2_3x3
A8FBD372   60000840   SimCity_ -              CO$$$3_2x3
A8FBD372   60000850   SimCity_ -              CO$$$3_3x2
A8FBD372   60000860   SimCity_ -              CO$$$2_4x4
A8FBD372   60000870   SimCity_ -              CO$$$3_3x4
A8FBD372   60000880   SimCity_ -              CO$$$3_4x3
A8FBD372   60000890   SimCity_ -              CO$$$4_1x2
A8FBD372   600008A0   SimCity_ -              CO$$$4_2x1
A8FBD372   600008B0   SimCity_ -              CO$$$4_2x2
A8FBD372   600008C0   SimCity_ -              CO$$$4_3x3
A8FBD372   600008D0   SimCity_ -              CO$$$5_3x2
A8FBD372   600008E0   SimCity_ -              CO$$$5_2x3
A8FBD372   600008F0   SimCity_ -              CO$$$5_1x1
A8FBD372   60000900   SimCity_ -              CO$$$5_2x2
A8FBD372   60000910   SimCity_ -              CO$$$5_1x3
A8FBD372   60000920   SimCity_ -              CO$$$6_1x2
A8FBD372   60000930   SimCity_ -              CO$$$6_2x1
A8FBD372   60000940   SimCity_ -              CO$$$5_2x3
A8FBD372   60000950   SimCity_ -              CO$$$5_3x3
A8FBD372   60000960   SimCity_ -              CO$$$5_3x4
A8FBD372   60000970   SimCity_ -              CO$$$5_4x3
A8FBD372   60000980   SimCity_ -              CO$$$6_3x3
A8FBD372   60000990   SimCity_ -              CO$$$6_2x2
A8FBD372   600009A0   SimCity_ -              CO$$$6_2x4
A8FBD372   600009B0   SimCity_ -              CO$$$6_3x2
A8FBD372   600009C0   SimCity_ -              CO$$$6_2x3
A8FBD372   600009D0   SimCity_ -              CO$$$7_3x2
A8FBD372   600009E0   SimCity_ -              CO$$$7_2x3
A8FBD372   600009F0   SimCity_ -              CO$$$6_3x3
A8FBD372   60000A00   SimCity_ -              CO$$$7_2x4
A8FBD372   60000A10   SimCity_ -              CO$$$7_3x4
A8FBD372   60000A20   SimCity_ -              CO$$$7_4x3
A8FBD372   60000A30   SimCity_ -              CO$$$7_4x4
A8FBD372   60000A40   SimCity_ -              CO$$$7_3x2
A8FBD372   60000A50   SimCity_ -              CO$$$7_2x3
A8FBD372   60000A60   SimCity_ -              CO$$$8_3x3
A8FBD372   60000A70   SimCity_ -              CO$$$8_4x3
A8FBD372   60000A80   SimCity_ -              CO$$$8_3x4
A8FBD372   60000A90   SimCity_ -              CO$$$8_4x4
A8FBD372   60000A90   CAM_Buil -              CO$$$11_4x4
A8FBD372   60000AA0   SimCity_ -              CS$1_2x2
A8FBD372   60000AB0   SimCity_ -              CS$1_1x3
A8FBD372   60000AC0   SimCity_ -              CS$1_3x3
A8FBD372   60000AD0   SimCity_ -              CS$2_1x2
A8FBD372   60000AE0   SimCity_ -              CS$2_2x1
A8FBD372   60000AF0   SimCity_ -              CS$1_2x3
A8FBD372   60000B00   SimCity_ -              CS$1_3x2
A8FBD372   60000B10   SimCity_ -              CS$2_2x2
A8FBD372   60000B40   SimCity_ -              CS$4_1x1
A8FBD372   60000B50   SimCity_ -              CS$2_1x2
A8FBD372   60000B60   SimCity_ -              CS$2_2x1
A8FBD372   60000B70   SimCity_ -              CS$3_1x2
A8FBD372   60000B80   SimCity_ -              CS$3_2x1
A8FBD372   60000B90   SimCity_ -              CS$3_2x2
A8FBD372   60000BA0   SimCity_ -              CS$5_1x1
A8FBD372   60000BB0   SimCity_ -              CS$4_1x3
A8FBD372   60000BC0   SimCity_ -              CS$6_1x2
A8FBD372   60000BD0   SimCity_ -              CS$6_2x1
A8FBD372   60000BE0   SimCity_ -              CS$$1_2x3
A8FBD372   60000BF0   SimCity_ -              CS$$1_2x3
A8FBD372   60000C00   SimCity_ -              CS$$1_2x2
A8FBD372   60000C10   SimCity_ -              CS$$1_2x2
A8FBD372   60000C20   SimCity_ -              CS$$1_1x3
A8FBD372   60000C30   SimCity_ -              CS$$1_4x4
